Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VCR-VPU,0.015024286403560171,0.1029501006524809,-0.33973462264504267,0.2464817527347928,-0.1412506372175768,0.019714713586655108,VCR,VPU,adaptive,15
VCR-VAW,0.02506868249290373,0.07290879316357954,-0.34195213533654095,0.6073592451008373,-0.09819597088914456,0.045948322984568524,VCR,VAW,adaptive,10
VCR-VHT,0.019173521313532883,0.08980328231826629,-0.3432667257886726,0.3729749984507657,-0.13955023803901867,0.030839367435556486,VCR,VHT,adaptive,20
VDE-VOX,0.012729603955918534,0.10790225534531467,-0.34540886958114675,0.19612959765447793,-0.15672163679525009,0.013957285752957072,VDE,VOX,standard,5
VFH-VPU,0.024287377328826427,0.07436341410206715,-0.3457697979799826,0.5112138416627561,-0.07385645274397745,0.04407891535329056,VFH,VPU,ewma,20
VFH-VOX,0.025920182733438612,0.06757048374550122,-0.35636591499412745,0.6672774151275015,-0.07506991244773698,0.04851989799684309,VFH,VOX,adaptive,20
VCR-VDC,0.015244795019468784,0.09693208138042649,-0.35855213759548216,0.2737001953486585,-0.11564860384751752,0.021399116594749135,VCR,VDC,adaptive,10
VAW-VGT,0.015351187511111697,0.09552026472160449,-0.3627378189316457,0.2603153089431966,-0.19415752952769882,0.021867247647892052,VAW,VGT,standard,10
VFH-VNQ,0.022557335629283304,0.07390515850889158,-0.3713227185273543,0.5396432539785422,-0.1264100856572753,0.040567750100664046,VFH,VNQ,standard,15
VHT-VCR,0.016403341094792023,0.0899911237479091,-0.3733330300366264,0.29680475833476433,-0.12908978814417993,0.025082409302284336,VHT,VCR,standard,15
VCR-VOX,0.027178170233685132,0.060336422917404424,-0.37824300253192067,0.7637966659447348,-0.044334602562018155,0.05213608097113043,VCR,VOX,adaptive,20
VFH-VNQ,0.026579489901139855,0.060978937558976584,-0.3840754043346304,0.7660554714359631,-0.09472126778030054,0.050796424243586324,VFH,VNQ,ewma,10
VHT-VDE,0.011180777277404722,0.10101918149097926,-0.38427575980767237,0.1706576083145114,-0.1500288501099417,0.012253601311563056,VHT,VDE,adaptive,20
VDE-VFH,0.013721936763461192,0.0939451359227969,-0.3861622305422143,0.2513984727950729,-0.11351372223890022,0.018853005065820216,VDE,VFH,standard,5
VFH-VPU,0.020235991042067445,0.07635711190272568,-0.3898000882465286,0.44077284084341667,-0.10740048236315691,0.03533503831774998,VFH,VPU,ewma,10
VHT-VPU,0.021032596002320044,0.07407793506175835,-0.3910395716825794,0.4641532854298343,-0.109056307661073,0.03733935571124669,VHT,VPU,adaptive,15
VGT-VOX,0.019305081624429295,0.07777921712951716,-0.39464164732408913,0.46948410622610376,-0.08132579822513897,0.03319662985093341,VGT,VOX,standard,15
VNQ-VOX,0.018956662940887558,0.07782070437732444,-0.3989084563999125,0.3888351698874394,-0.11521557571966112,0.03244197882679867,VNQ,VOX,adaptive,20
